Rk,Player,Nation,Pos,Squad,League,Age,MP,Min,GoalsPer90,GoalsPerShoot,PKGoals,PKAttempted,PKGoals%,Goals,OwnGoals,Assist,Pass,PassCompleted,PassComp%,PassGround,PassLow,PassHigh,PassDistanceYard,Cross,CrossCompleted,CrossComp%,TackleWon,TackleComm,TackleLost,TackleWon%,SuccDribble,Dribble,DribbleComp%,YellowCards,RedCards,FoulsComm,FoulsDrawn,AerWon,AerLost,AerWon%
1,Max Aarons,ENG,DF,Norwich City,Premier League,22,34,2881,0.0,0.0,0,0,0.0,0,1,2,1440,1088,75.56,848,307,286,18371,45,8,17.78,37,69,32,53.62,33,78,42.31,8,0,31,59,15,51,22.82
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,34,2983,0.06,0.11,0,0,0.0,2,0,0,1556,1281,82.33,1168,125,263,27665,2,0,0.0,46,62,16,74.19,16,22,72.73,5,1,43,24,67,45,59.76
3,Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,22,31,2462,0.04,0.06,0,0,0.0,1,0,0,1671,1532,91.68,1441,129,102,28312,10,1,10.0,34,55,21,61.82,27,42,64.29,12,3,45,35,24,24,50.0
4,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,34,2956,0.0,0.0,0,0,0.0,0,0,2,1633,1335,81.75,1233,185,218,25610,26,6,23.08,73,117,44,62.39,42,65,64.62,9,0,46,68,14,14,50.0
5,Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,22,1,45,0.0,0.0,0,0,0.0,0,0,0,6,2,33.33,5,0,1,24,1,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1,0,1,0,100.0
6,Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,23,24,726,0.0,0.0,0,0,0.0,0,0,1,139,90,64.75,87,32,20,1296,2,0,0.0,7,14,7,50.0,6,18,33.33,3,0,18,12,22,40,35.51
7,Matthis Abline,FRA,FW,Rennes,Ligue 1,19,7,103,0.0,0.0,0,0,0.0,0,0,0,10,8,80.0,9,1,0,100,1,0,0.0,0,0,0,0.0,1,2,50.0,0,0,2,1,0,2,0.0
8,Tammy Abraham,ENG,FW,Roma,Serie A,24,37,3084,0.5,0.15,3,3,100.0,17,0,4,693,501,72.29,439,150,104,7714,24,4,16.67,22,34,12,64.71,37,76,48.68,9,0,43,50,82,99,45.27
9,Luis Abram,PER,DF,Granada,La Liga,26,8,560,0.0,0.0,0,0,0.0,0,1,0,220,194,88.18,175,15,30,4320,0,0,0.0,6,7,1,85.71,0,0,0.0,2,0,5,5,12,15,44.5
10,Francesco Acerbi,ITA,DF,Lazio,Serie A,34,30,2536,0.14,0.25,0,0,0.0,4,0,0,2005,1813,90.42,1489,158,358,37943,1,0,0.0,12,27,15,44.44,3,4,75.0,2,1,20,19,80,45,63.96
11,Ragnar Ache,GER,MFFW,Eint Frankfurt,Bundesliga,23,13,259,0.0,0.0,0,0,0.0,0,0,1,71,42,59.15,35,18,18,607,6,2,33.33,2,2,0,100.0,4,8,50.0,0,0,6,8,20,11,64.55
12,Mohamed Achi,FRA,MF,Nantes,Ligue 1,20,1,10,0.0,0.0,0,0,0.0,0,0,0,5,3,60.0,4,1,0,49,0,0,0.0,1,1,0,100.0,0,0,0.0,0,0,0,0,0,0,0.0
13,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,31,2260,0.04,0.06,0,0,0.0,1,0,3,1970,1564,79.39,1157,311,505,32211,124,23,18.55,39,58,19,67.24,45,65,69.23,10,0,41,54,33,37,47.12
14,Che Adams,SCO,FW,Southampton,Premier League,25,30,2039,0.31,0.14,0,0,0.0,7,0,3,484,336,69.42,306,99,78,5275,11,1,9.09,9,16,7,56.25,14,33,42.42,0,0,31,47,56,111,33.56
15,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,23,24,1351,0.0,0.0,0,0,0.0,0,0,1,914,792,86.65,717,86,111,13102,3,0,0.0,16,26,10,61.54,10,17,58.82,5,0,20,18,23,12,65.67
16,Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,29,13,331,0.27,0.33,0,0,0.0,1,0,0,98,73,74.49,66,13,19,1154,6,2,33.33,8,13,5,61.54,6,9,66.67,0,0,6,9,5,13,27.78
17,Martin Adeline,FRA,MFFW,Reims,Ligue 1,18,8,352,0.0,0.0,0,0,0.0,0,0,0,146,107,73.29,116,10,20,1847,2,0,0.0,12,14,2,85.71,3,5,60.0,1,0,16,2,2,8,19.92
18,Amine Adli,FRA,FWMF,Leverkusen,Bundesliga,22,25,1256,0.21,0.08,0,0,0.0,3,0,2,519,392,75.53,419,74,28,5845,26,8,30.77,25,38,13,65.79,24,45,53.33,3,0,27,32,19,35,35.23
19,Yacine Adli,FRA,MFFW,Bordeaux,Ligue 1,21,36,2260,0.04,0.03,0,0,0.0,1,0,7,1237,911,73.65,813,141,281,19345,39,4,10.26,34,48,14,70.83,44,79,55.7,5,0,27,33,24,20,54.55
20,Michel Aebischer,SUI,MF,Bologna,Serie A,25,12,443,0.0,0.0,0,0,0.0,0,0,0,243,216,88.89,199,25,19,3626,2,1,50.0,8,15,7,53.33,1,3,33.33,1,0,14,4,6,8,42.81
21,Felix Afena-Gyan,GHA,FWMF,Roma,Serie A,19,17,668,0.27,0.11,0,0,0.0,2,0,0,164,125,76.22,128,22,14,1829,8,2,25.0,4,8,4,50.0,9,23,39.13,5,1,15,26,9,18,33.42
22,Martin Agirregabiria,ESP,DF,Alavés,La Liga,26,24,1616,0.0,0.0,0,0,0.0,0,0,1,788,563,71.45,376,178,232,10436,39,11,28.21,23,42,19,54.76,14,19,73.68,4,0,30,27,34,39,46.55
23,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,4,360,0.0,0.0,0,0,0.0,0,0,0,82,61,74.39,48,1,33,1695,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
